class,feature,weight
ENG,bi_ui,0.00039909872016963277
ENG,bi_uk,-0.23773703559294496
ENG,bi_ul,-0.5741847895312141
ENG,bi_um,-0.4178266336395213
ENG,bi_un,-0.75363183777472
ENG,bi_uo,-0.8269461681347221
ENG,bi_up,0.4934665285345838
ENG,bi_uq,-0.31883967320232326
ENG,bi_ur,0.45402852690204815
ENG,bi_us,0.32230093575634033
ENG,bi_ut,0.21411274644053715
ENG,bi_uu,-0.666700490599098
ENG,bi_uv,0.4487623135675797
ENG,bi_uw,-0.718911567494627
ENG,bi_ux,-0.05783150602890423
ENG,bi_uy,-0.8462780432042794
ENG,bi_uz,-0.7092674196618867
ENG,bi_v5,1.218897960445138
ENG,bi_va,0.7631560705664576
ENG,bi_vc,0.622754548467347
ENG,bi_ve,0.6285453282588626
